# Simulation 2 (Up to date)
# 702 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
629.952,-16.092,0.46,34.253
627.758,-16.015,0.46,34.253
625.223,-15.919,0.46,34.253
622.621,-15.809,0.46,34.253
620.037,-15.686,0.46,34.253
617.475,-15.55,0.46,34.253
614.936,-15.402,0.46,34.253
612.423,-15.244,0.46,34.253
609.935,-15.081,0.46,34.253
607.475,-14.918,0.46,34.253
605.131,-14.763,0.46,34.253
602.722,-14.609,0.46,34.253
600.338,-14.465,0.46,34.253
597.976,-14.333,0.46,34.253
595.635,-14.213,0.46,34.253
593.312,-14.106,0.46,34.253
591.006,-14.008,0.46,34.253
588.716,-13.919,0.46,34.253
586.439,-13.836,0.46,34.253
584.176,-13.755,0.46,34.253
581.927,-13.675,0.46,34.253
579.69,-13.593,0.46,34.253
577.467,-13.509,0.46,34.253
575.258,-13.421,0.46,34.253
573.064,-13.33,0.46,34.253
570.885,-13.236,0.46,34.253
568.722,-13.14,0.46,34.253
566.574,-13.044,0.459,34.253
564.442,-12.95,0.459,34.253
562.325,-12.858,0.46,34.253
560.223,-12.77,0.459,34.253
558.135,-12.687,0.459,34.253
556.061,-12.61,0.459,34.253
553.998,-12.539,0.459,34.253
551.947,-12.473,0.459,34.253
549.906,-12.411,0.459,34.253
547.874,-12.356,0.459,34.253
545.852,-12.303,0.459,34.253
543.838,-12.252,0.459,34.253
541.832,-12.203,0.459,34.253
539.834,-12.153,0.459,34.253
537.845,-12.103,0.459,34.253
535.864,-12.052,0.459,34.253
533.891,-11.997,0.459,34.253
531.928,-11.941,0.459,34.253
529.973,-11.885,0.459,34.253
528.029,-11.827,0.459,34.253
526.093,-11.771,0.459,34.253
524.167,-11.715,0.459,34.253
522.249,-11.663,0.459,34.253
520.34,-11.615,0.459,34.253
518.438,-11.571,0.459,34.253
516.543,-11.532,0.459,34.253
514.654,-11.5,0.459,34.253
512.77,-11.473,0.459,34.253
510.89,-11.45,0.459,34.253
509.013,-11.432,0.459,34.253
507.139,-11.418,0.459,34.253
505.267,-11.405,0.459,34.253
503.397,-11.391,0.459,34.253
501.53,-11.377,0.459,34.253
499.665,-11.362,0.459,34.253
497.802,-11.344,0.459,34.253
495.943,-11.325,0.459,34.253
494.087,-11.303,0.459,34.253
492.235,-11.281,0.459,34.253
490.386,-11.257,0.459,34.253
488.541,-11.234,0.459,34.253
486.7,-11.214,0.459,34.253
484.862,-11.197,0.459,34.253
483.026,-11.187,0.459,34.253
481.192,-11.181,0.459,34.253
479.357,-11.183,0.459,34.253
477.522,-11.193,0.459,34.253
475.685,-11.209,0.459,34.253
473.844,-11.232,0.459,34.253
472,-11.26,0.459,34.253
470.15,-11.292,0.459,34.253
468.295,-11.328,0.459,34.253
466.434,-11.365,0.459,34.253
464.566,-11.4,0.459,34.253
462.694,-11.433,0.459,34.253
460.816,-11.462,0.459,34.253
458.933,-11.486,0.459,34.253
457.048,-11.504,0.459,34.253
455.16,-11.515,0.459,34.253
453.27,-11.521,0.459,34.253
451.38,-11.522,0.459,34.253
449.49,-11.518,0.459,34.253
447.601,-11.512,0.459,34.253
445.713,-11.504,0.459,34.253
443.827,-11.497,0.459,34.253
441.941,-11.493,0.459,34.253
440.056,-11.492,0.459,34.253
438.171,-11.495,0.459,34.253
436.284,-11.503,0.459,34.253
434.396,-11.517,0.459,34.253
432.505,-11.536,0.459,34.253
